"MF_name","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell","memory_CD8T","B_memory"
"ZNF460","4.027997","3.550015","3.298161","3.494069","3.392419","3.4173","8.8086385","3.558085","9.0059765","9.573106"
"ARID5B","3.397348","3.7170225","3.575447","3.999426","3.9006675","3.690926","10.6170025","3.580878","8.368746","9.556034"
"TFEC","3.486825","3.6545255","10.069563","9.460448","8.898046","3.758171","3.357619","3.617036","3.114318","3.2744265"
"FCER1G","4.949588","11.6434625","12.721801","13.4001115","12.1870115","5.789213","4.6284375","6.934341","4.189491","4.0423075"
"CD8B","6.221296","6.082324","5.403949","5.7454335","5.416283","7.972384","5.127434","11.300855","9.837925","4.150144"
"GRN","6.172978","7.111835","13.145351","12.550012","12.2419685","8.058193","5.4003435","7.528898","5.7832155","8.302895"
"RAB7A","6.682329","5.6137355","6.398921","6.8771855","6.1823515","6.00384","12.044938","5.714982","10.375135","11.5483285"
"CTSB","7.479031","7.69141","13.867314","13.9758385","14.0375265","8.96289","8.4387275","7.39814","7.6128305","7.772074"
"OSGIN2","4.774704","4.615642","4.597019","5.0102515","4.5891085","4.643249","10.1140735","4.592525","7.9808855","8.1479175"
"EXOSC3","6.194477","4.991268","5.21231","5.074872","5.0622525","5.100254","10.4097575","4.74041","7.169023","10.843203"
"FCRL5","5.241953","3.994946","3.600231","4.171211","3.5861535","4.208902","3.4058565","3.890272","3.0863525","8.096198"
"LINC01578","7.105915","5.355222","3.683193","3.5895545","4.2071155","3.362006","9.705019","4.116316","10.311352","9.124624"
"TRBC1","12.948686","12.096605","5.137771","7.748243","5.727799","11.341057","12.7123935","12.786947","12.773845","6.6633695"
"DNAJC21","3.547819","3.4657355","3.327811","3.2525515","3.535886","3.432726","4.299504","3.115151","4.612511","5.2010955"
"PRDM2","4.597188","4.0406515","3.861482","4.012782","3.6024295","4.19235","7.806428","3.848528","8.2276565","7.839383"
"PSAP","7.836548","9.643918","13.438335","13.0505295","13.114627","7.6462","8.4625635","7.804645","7.490134","8.879598"
"HBG2","4.786222","4.812018","4.623457","4.9329","4.4255555","13.206094","4.7205025","5.341626","4.7387795","4.2889915"
"AKT2","5.146473","5.4284595","5.084484","5.4155955","4.9261415","5.279229","10.9017565","5.314007","9.9368655","9.776588"
"SIRPA","4.67318","4.2013665","7.332216","8.101591","5.6235795","5.000001","5.1362535","4.802091","4.27421","5.6441215"
"PDGFC","3.501575","3.541875","8.397265","4.82476","7.4495885","3.493213","3.6560255","3.549321","3.011469","3.486674"
"BCL11B","9.930097","9.069096","3.835341","5.068272","3.643538","9.994141","7.006049","11.276371","10.228814","3.2386565"
"MRPL41","7.825133","8.1008755","8.686004","8.2724555","8.7298485","7.964356","9.55301","7.458014","9.2141395","9.4204685"
"JMJD1C","3.721955","4.3257735","4.305946","5.168824","4.1433235","3.648472","10.459585","4.023317","9.5119985","8.6252595"
"PPP3CC","7.248409","8.998945","6.934457","7.421886","7.537362","7.296568","9.093192","8.084891","9.8702275","8.837296"
"RAB31","4.289233","6.3318105","11.216381","11.634514","10.740456","4.982832","4.8655965","5.728766","3.9844265","8.791353"
"MAP4K1","6.527547","7.652474","5.368179","5.922463","5.50695","8.806091","6.317033","9.106412","10.339159","9.8839395"
"ETS1","5.919168","7.245084","4.787995","5.3666785","5.09879","6.481119","8.7462775","6.087938","9.5641965","8.141901"
"FOXP3","5.670191","5.5823995","5.954758","6.166187","5.6909435","6.142467","10.616105","5.996056","6.0050845","5.8956475"
"HNRNPU","4.469044","4.989216","5.546476","6.138353","5.462365","5.801793","10.6541955","5.691231","8.846352","9.3303655"
"NAA30","3.284809","3.127566","3.042347","3.1640985","3.075658","2.940989","8.6472","2.935232","8.0725515","7.558014"
"IL23A","13.09772","12.256428","4.040306","7.559632","5.3510855","11.408101","13.641776","12.613232","13.448607","10.6066655"
"SYK","4.557642","6.184147","7.284661","6.9662325","5.577914","4.497809","4.023192","4.577394","3.412028","8.405573"
"LRIG1","5.324416","4.871727","4.834588","5.1069345","4.9133695","5.162141","10.70863","5.266459","6.957984","5.7811505"
"IGKC","5.230859","6.2422995","5.104499","5.3181345","5.4792845","5.374629","5.690421","5.249903","5.227294","11.9912035"
"KMT2C","8.743741","9.488409","8.289656","7.644707","8.325255","6.500198","6.099648","7.49543","8.0804025","7.494566"
"PLPP3","3.2643","3.350203","11.129616","8.8649075","10.914361","3.301727","3.061326","3.296568","2.6362615","3.068773"
"MDM2","4.652258","4.563508","6.828397","5.5309365","6.1549005","4.144623","9.1515055","4.138917","8.3120455","8.565947"
"ZNF92","2.841192","3.6586225","3.216546","3.1259385","2.988334","3.102502","7.36386","3.050443","7.6062675","7.423629"
"B4GALT1","3.826411","4.2254295","3.475363","4.0227165","3.86761","3.857703","9.0844215","3.899542","9.052306","8.1577765"
"SDC2","5.655312","5.2580025","8.790937","8.2256215","9.331682","5.48337","5.753924","5.353121","5.0152795","5.240553"
"IRF2BP2","5.842943","5.517175","5.737903","6.0854715","6.115284","5.920921","10.5445155","5.872337","9.6056705","8.0383935"
"DYRK1A","4.003652","4.0794065","3.872847","4.213349","3.8056425","4.09511","8.594225","4.052831","8.3755305","7.575117"
"WDFY3","6.76511","4.9190405","4.699478","5.001569","4.7765515","4.175987","3.7792185","4.372694","3.3348265","3.432131"
"MLLT10","4.841022","3.8410265","4.409559","4.28233","4.5969175","4.065597","8.862493","3.923606","9.503352","8.414172"
"RPAIN","5.838779","4.664506","4.782283","5.106348","4.872758","5.782323","9.962039","4.814361","6.6216455","8.3470365"
"MGST1","2.607839","3.186519","9.459581","10.594637","11.029499","2.85313","2.997863","2.742885","2.5107425","2.910845"
"RORA","2.8631","2.6342755","2.586067","2.656878","2.7631935","2.608865","4.6101595","2.740966","5.8028945","3.2136835"
"DAB2","3.507118","3.910978","7.658058","7.0565115","7.418523","3.393201","3.336831","3.421681","3.0434415","3.156667"
"RHEB","9.103112","8.83162","10.221059","10.115326","10.582647","7.318143","9.459711","5.60122","6.8109205","7.3989595"
